iter	Passed	Remaining
0	151	151555
1	154	76979
2	157	52214
3	160	39847
4	162	32292
5	164	27236
6	166	23625
7	169	20971
8	171	18861
9	173	17131
10	174	15723
11	176	14542
12	178	13538
13	180	12680
14	181	11951
15	184	11336
16	186	10765
17	188	10267
18	190	9827
19	192	9427
20	193	9020
21	194	8650
22	195	8323
23	197	8021
24	198	7737
25	199	7474
26	200	7227
27	201	6997
28	202	6784
29	203	6586
30	204	6400
31	205	6226
32	207	6065
33	208	5913
34	209	5781
35	211	5654
36	212	5531
37	213	5412
38	214	5294
39	215	5181
40	217	5076
41	218	4974
42	219	4878
43	220	4784
44	221	4696
45	222	4612
46	223	4538
47	225	4466
48	226	4391
49	227	4320
50	228	4251
51	229	4184
52	230	4120
53	231	4057
54	232	3997
55	233	3939
56	234	3884
57	236	3833
58	237	3788
59	239	3744
60	240	3703
61	241	3656
62	242	3609
63	243	3564
64	244	3520
65	245	3477
66	246	3436
67	247	3396
68	248	3357
69	249	3318
70	251	3285
71	252	3253
72	253	3221
73	254	3189
74	256	3158
75	257	3125
76	258	3094
77	259	3063
78	260	3032
79	261	3003
80	262	2973
81	263	2946
82	263	2913
83	265	2890
84	266	2870
85	268	2849
86	269	2825
87	270	2801
88	271	2777
89	272	2754
90	273	2731
91	274	2709
92	275	2687
93	276	2665
94	277	2644
95	278	2623
96	280	2606
97	281	2588
98	282	2570
99	283	2551
100	284	2532
101	285	2513
102	286	2496
103	287	2478
104	288	2460
105	289	2443
106	290	2426
107	291	2410
108	292	2394
109	294	2380
110	295	2368
111	296	2354
112	298	2339
113	299	2324
114	300	2309
115	301	2295
116	302	2279
117	303	2265
118	304	2251
119	305	2237
120	306	2224
121	307	2210
122	308	2200
123	310	2191
124	311	2179
125	312	2167
126	313	2153
127	314	2141
128	315	2129
129	316	2117
130	317	2106
131	318	2094
132	319	2083
133	320	2071
134	321	2060
135	322	2051
136	324	2042
137	325	2034
138	326	2024
139	327	2013
140	328	2003
141	329	1990
142	330	1980
143	331	1970
144	332	1961
145	333	1951
146	334	1941
147	335	1932
148	336	1922
149	338	1916
150	339	1908
151	340	1901
