iter	Passed	Remaining
0	135	135365
1	137	68701
2	139	46482
3	142	35571
4	145	29049
5	148	24562
6	150	21341
7	153	19003
8	156	17213
9	158	15699
10	160	14459
11	162	13385
12	164	12491
13	167	11830
14	170	11176
15	172	10605
16	174	10071
17	176	9607
18	177	9180
19	183	8990
20	185	8641
21	188	8373
22	190	8087
23	194	7903
24	200	7818
25	202	7592
26	208	7529
27	212	7365
28	215	7222
29	218	7067
30	220	6899
31	225	6820
32	229	6724
33	231	6584
34	234	6451
35	238	6374
36	240	6257
37	242	6140
38	245	6043
39	247	5944
40	249	5836
41	251	5736
42	255	5693
43	257	5604
44	262	5576
45	265	5505
46	268	5438
47	270	5364
48	272	5297
49	277	5272
50	281	5240
51	284	5184
52	286	5120
53	288	5053
54	291	5000
55	293	4950
56	297	4917
57	299	4866
58	305	4869
59	307	4814
60	311	4793
61	313	4747
62	320	4762
63	324	4740
64	326	4691
65	328	4641
66	330	4602
67	333	4571
68	335	4526
69	338	4495
70	342	4484
71	348	4486
72	350	4453
73	353	4425
74	355	4388
75	357	4349
76	364	4372
77	367	4347
78	370	4321
79	376	4327
80	379	4303
81	381	4274
82	383	4231
83	395	4316
84	398	4286
85	401	4271
86	409	4293
87	411	4264
88	413	4231
89	417	4218
90	419	4188
91	421	4160
92	423	4128
93	425	4096
94	426	4067
95	430	4051
96	432	4024
97	434	3999
98	436	3972
99	438	3950
100	441	3925
101	446	3929
102	449	3911
103	451	3893
104	454	3871
105	458	3866
106	463	3867
107	465	3844
108	467	3822
109	471	3815
110	474	3803
111	477	3784
112	479	3762
113	483	3755
114	485	3738
115	489	3731
116	491	3708
117	493	3690
118	495	3671
119	499	3662
120	501	3644
121	503	3623
122	506	3609
123	508	3590
124	515	3609
125	519	3604
126	521	3584
127	524	3570
128	527	3562
129	529	3544
130	533	3542
131	537	3531
132	541	3527
133	543	3511
134	548	3514
135	550	3498
136	563	3548
137	568	3548
138	571	3541
139	575	3535
140	578	3521
141	579	3501
142	584	3503
143	586	3488
144	590	3481
145	592	3465
146	594	3452
147	599	3450
148	605	3456
149	607	3443
150	609	3429
151	613	3422
152	616	3410
153	620	3406
154	622	3391
155	624	3380
156	627	3369
157	630	3358
158	633	3351
159	636	3340
160	637	3322
161	642	3322
162	644	3310
163	647	3301
164	649	3287
165	651	3272
166	655	3267
167	657	3257
168	660	3247
169	662	3233
170	664	3220
171	666	3207
172	668	3197
